#Proactive Hunt C2 Threat Intelligence Feeds Generated on Threatview[.]io on 16-June-2021. Machine Readable feed available at https://threatview[.]io/Downloads/High-Confidence-CobaltstrikeC2_IP_feed.txt
IP,Date of Detection,Host,Protocol,Beacon Config,Comment
128.199.0.91,24 May 2021 09:00 AM UTC,,https,"fedex-global.com,/MicrosoftUpdate/ShellEx/KB242742/default.aspx",Generated by Threatview[.]io Proactive Hunter
121.196.111.48,24 May 2021 09:00 AM UTC,,https,"123.138.154.71,/view/,139.215.131.222,/view/,180.130.112.228,/view/,43.243.246.230,/view/",Generated by Threatview[.]io Proactive Hunter
185.106.123.114,24 May 2021 09:00 AM UTC,,https,"tulls.net,/userid=",Generated by Threatview[.]io Proactive Hunter
206.189.106.19,24 May 2021 09:00 AM UTC,,https,"jubiterstar.me,/s/ref=nb_sb_noss_1/18-0262949/field-keywords=electronics",Generated by Threatview[.]io Proactive Hunter
194.165.16.60,24 May 2021 09:00 AM UTC,,https,"194.165.16.60,/fwlink",Generated by Threatview[.]io Proactive Hunter
123.57.73.247,24 May 2021 09:00 AM UTC,,https,"123.57.73.247,/updates",Generated by Threatview[.]io Proactive Hunter
103.153.100.248,24 May 2021 09:00 AM UTC,,https,"61.168.100.179,/api/getit",Generated by Threatview[.]io Proactive Hunter
204.16.247.41,24 May 2021 09:00 AM UTC,,https,"syscx.com,/dot.gif",Generated by Threatview[.]io Proactive Hunter
134.209.5.246,24 May 2021 09:00 AM UTC,,https,"134.209.5.246,/visit.js",Generated by Threatview[.]io Proactive Hunter
31.44.184.73,24 May 2021 09:00 AM UTC,,https,"31.44.184.73,/dot.gif",Generated by Threatview[.]io Proactive Hunter
49.235.193.60,24 May 2021 09:00 AM UTC,,https,"service-1gwnozmy-1257870149.gz.apigw.tencentcs.com,/cgi-bin/mmwebwx-bin/webwxgetcontact",Generated by Threatview[.]io Proactive Hunter
139.224.164.192,24 May 2021 09:00 AM UTC,,https,"222.222.88.17,/api/getit",Generated by Threatview[.]io Proactive Hunter
